Access to electricity (% of population),Electric power transmission and distribution losses (% of output),Electricity production from hydroelectric sources (% of total),"Electricity production from renewable sources, excluding hydroelectric (% of total)",Electricity production from coal sources (% of total),Electricity production from nuclear sources (% of total),Electricity production from oil sources (% of total),Date,Country,"('Country', 'Type')","('Country', 'Group')"
100.0,8.17577002053388,1.46091718001369,1.17180013689254,29.6621492128679,26.0459958932238,2.38193018480493,1999,gb,gb,gb
100.0,8.25802663683017,1.41741834889318,0.977902342700628,34.646434713733,27.552419276668,2.62020222721344,1998,gb,gb,gb
100.0,7.77192279053783,1.19394008820666,0.795291826565095,34.9312675410963,28.1075662981843,3.05544418351567,1997,gb,gb,gb
100.0,8.39791247391308,0.971335163592537,0.656145061878602,42.1596104353402,27.1020546043233,4.91965658306447,1996,gb,gb,gb
100.0,8.07575588966853,1.45508573215956,0.611448799809919,46.6800405426946,26.7569754187357,5.2022773685746,1995,gb,gb,gb
100.0,9.85804125233829,1.56726887860589,0.572573102293985,49.6397189130649,27.1616865216107,4.56489366939057,1994,gb,gb,gb
100.0,7.09682433587739,1.33741625604278,0.440209534764429,53.2373742869134,27.7782786439308,6.57298742480531,1993,gb,gb,gb
100.0,7.44834756032642,1.70066323047729,0.304998340358107,60.6357994150545,24.0513424310935,9.33438965886531,1992,gb,gb,gb
100.0,8.15927705444497,1.43892056063133,0.217518484403396,65.8026089770719,21.9519405511713,8.74928427394259,1991,gb,gb,gb
100.0,7.87682333873582,1.63868389167755,0.190083554940127,64.9676637661091,20.6917279035735,10.9128101839468,1990,gb,gb,gb
,7.98976573119053,1.51882945550492,0.00287838810266251,64.537299112497,22.9420324618214,9.41616694650996,1989,gb,gb,gb
,7.74517923402479,1.60844359524477,0.000326057894839808,66.8852341421743,20.6903297749548,9.25776180818666,1988,gb,gb,gb
,8.84884168092188,1.37148426622111,0.0,70.1054885891979,18.3123151794831,8.70827863309066,1987,gb,gb,gb
,8.37300195420153,1.59208965943445,0.000334051544153263,67.6557932889045,19.7354311770306,10.4340999816272,1986,gb,gb,gb
,8.34795177779512,1.38776258062765,0.000339306254432188,60.5084843528921,20.7299156145345,16.3908672328557,1985,gb,gb,gb
,8.22229989015535,1.42191757371717,0.000356638468451761,45.6668426083111,19.2509878885576,32.7090971340533,1984,gb,gb,gb
,7.69540619885545,1.6518668781095,0.0,70.6561380716849,18.1182797649936,8.98003026487206,1983,gb,gb,gb
,7.53802323355762,1.66742737672816,0.0,71.8963029491011,16.1854562051856,9.70126179714071,1982,gb,gb,gb
,7.27257613924257,1.57103257353712,0.0,74.7720430651579,13.7222304542514,9.40089701008685,1981,gb,gb,gb
,7.58049924138684,1.36972799053758,0.0,73.1845207712156,13.0330093532955,11.6657455354471,1980,gb,gb,gb
,7.6890622645616,1.42142008069782,0.0,67.933164794321,12.8272698354233,16.7878250096268,1979,gb,gb,gb
,7.6142734463908,1.39460033093395,0.0,65.6903882539394,12.994393671761,18.4575964700379,1978,gb,gb,gb
,7.36769247151528,1.37365562772868,0.0,64.7808185141802,14.2054449295425,17.5469421076918,1977,gb,gb,gb
,6.80400611742995,1.33973169039411,0.0,65.3398915282313,13.1339477402926,17.5563700827161,1976,gb,gb,gb
,7.19081206839248,1.38520624838436,0.0,62.58281325012,11.2035156394254,21.4494626832601,1975,gb,gb,gb
,6.68901109389799,1.49264689686566,0.0,54.6365298345827,12.3409519753893,27.6822490290086,1974,gb,gb,gb
,6.96138644829253,1.37123603173249,0.0,62.0606926554636,9.95088003639569,25.6450993772925,1973,gb,gb,gb
,7.19915362279129,1.29049690410135,0.0,55.2736835295147,11.1802471391004,29.7491694162509,1972,gb,gb,gb
,7.43169270711147,1.31297017469776,0.0,63.9371119348129,10.7712038036253,23.0235067798996,1971,gb,gb,gb
,7.17661099776626,1.80917206286742,0.0,68.8053900183054,10.4881176062642,18.5658874095817,1970,gb,gb,gb
,7.37197405643524,1.34846007372815,0.0,71.9236152853498,12.2424874212382,14.3425206283286,1969,gb,gb,gb
